Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/13/2019 18,53.9,38.03,10816
01/13/2019 19,47.5,38.05,10732
01/13/2019 20,40.31,38.06,10588
01/13/2019 21,39.35,38.06,10409
01/13/2019 22,36.9,38.07,10218
01/13/2019 23,32.97,38.07,9905
01/13/2019 24,32.78,38.07,9623
01/14/2019 01,32.78,38.07,9433
01/14/2019 02,32.78,38.07,9374
01/14/2019 03,32.78,38.08,9334
01/14/2019 04,32.78,38.08,9371
01/14/2019 05,32.79,38.08,9458
01/14/2019 06,33.12,38.08,9693
01/14/2019 07,39.22,38.09,10154
01/14/2019 08,44.49,38.11,10606
01/14/2019 09,40.48,38.12,10769
01/14/2019 10,36.92,38.13,10714
01/14/2019 11,35.88,38.13,10698
01/14/2019 12,45.59,38.15,10633
01/14/2019 13,48.61,38.17,10542
01/14/2019 14,45.37,38.19,10540
01/14/2019 15,36.02,38.2,10558
01/14/2019 16,40.75,38.21,10627
01/14/2019 17,38.16,38.21,10787
01/14/2019 18,46.85,38.23,11078
01/14/2019 19,43.57,38.25,10980
01/14/2019 20,55.04,38.28,10871
01/14/2019 21,56.2,38.31,10705
01/14/2019 22,48.35,38.33,10467
01/14/2019 23,33.48,38.33,10019
01/14/2019 24,32.86,38.31,9670
01/15/2019 01,32.79,38.31,9474
01/15/2019 02,32.78,38.3,9354
01/15/2019 03,30,38.28,9272
01/15/2019 04,32.7,38.26,9399
01/15/2019 05,32.79,38.25,9450
01/15/2019 06,33.22,38.25,9702
01/15/2019 07,34.49,38.25,10202
01/15/2019 08,47.96,38.27,10739
01/15/2019 09,48.88,38.3,10932
01/15/2019 10,48.52,38.32,10883
01/15/2019 11,47.92,38.34,10862
01/15/2019 12,50.04,38.36,10899
01/15/2019 13,60.62,38.4,10883
01/15/2019 14,58.2,38.43,10832
01/15/2019 15,54.63,38.46,10810
01/15/2019 16,50.46,38.49,10912
01/15/2019 17,58.67,38.52,11084
01/15/2019 18,64.21,38.56,11264
01/15/2019 19,49.28,38.59,11138
01/15/2019 20,47.26,38.61,11050
01/15/2019 21,47.18,38.62,10874
01/15/2019 22,44.53,38.63,10646
01/15/2019 23,40.65,38.64,10315
01/15/2019 24,33.49,38.64,10016
01/16/2019 01,33.23,38.64,9806
01/16/2019 02,34.17,38.65,9734
01/16/2019 03,36.46,38.65,9702
01/16/2019 04,35.86,38.66,9699
01/16/2019 05,33.23,38.66,9729
01/16/2019 06,35.01,38.67,9913
01/16/2019 07,43.18,38.69,10334
01/16/2019 08,45,38.71,10794
01/16/2019 09,48.49,38.73,11018
01/16/2019 10,48.74,38.75,11036
01/16/2019 11,47.96,38.77,11052
01/16/2019 12,55.17,38.81,11054
01/16/2019 13,53.98,38.83,11017
01/16/2019 14,47.39,38.85,11030
01/16/2019 15,55.69,38.89,11048
01/16/2019 16,52.94,38.91,11113
01/16/2019 17,71.04,38.96,11226
01/16/2019 18,233.08,39.22,11355
01/16/2019 19,50.73,39.25,11268
01/16/2019 20,53.58,39.28,11219
01/16/2019 21,57.98,39.31,11057
01/16/2019 22,50.41,39.33,10805
01/16/2019 23,43.19,39.35,10488
01/16/2019 24,40.49,39.36,10190
01/17/2019 01,37.12,39.36,9997
01/17/2019 02,48.47,39.39,9863
01/17/2019 03,55,39.42,9790
01/17/2019 04,49.2,39.45,9761
01/17/2019 05,42.87,39.47,9784
01/17/2019 06,50.07,39.49,10027
01/17/2019 07,65.85,39.54,10396
01/17/2019 08,58.55,39.58,10908
01/17/2019 09,63.87,39.62,11065
01/17/2019 10,47.75,39.64,11056
01/17/2019 11,52.58,39.66,11095
01/17/2019 12,54.44,39.69,11082
01/17/2019 13,55.06,39.72,11097
01/17/2019 14,53.35,39.75,11108
01/17/2019 15,53.51,39.78,11088
01/17/2019 16,53.99,39.81,11130
01/17/2019 17,53.61,39.84,11203
01/17/2019 18,227.07,40.11,11334
01/17/2019 19,46.82,40.13,11263
01/17/2019 20,46.45,40.15,11183
01/17/2019 21,46.71,40.17,11131
01/17/2019 22,52.62,40.2,10980
01/17/2019 23,54.36,40.23,10616
01/17/2019 24,53.54,40.26,10324
01/18/2019 01,52.33,40.29,10095
01/18/2019 02,50.87,40.32,9980
01/18/2019 03,45.71,40.33,9900
01/18/2019 04,46.66,40.35,9890
01/18/2019 05,48.08,40.37,9957
01/18/2019 06,50.36,40.4,10133
01/18/2019 07,72.11,40.45,10509
01/18/2019 08,55.46,40.48,10948
01/18/2019 09,88.6,40.54,11154
01/18/2019 10,55.03,40.57,11171
01/18/2019 11,109.94,40.68,11114
01/18/2019 12,57.24,40.71,11111
01/18/2019 13,53.87,40.74,11071
01/18/2019 14,53.51,40.77,11062
01/18/2019 15,50.7,40.79,10986
01/18/2019 16,52.3,40.82,10978
01/18/2019 17,48.52,40.84,11051
01/18/2019 18,58.5,40.88,11217
01/18/2019 19,99.59,40.97,11137
01/18/2019 20,93.2,41.05,11004
01/18/2019 21,51.18,41.08,10914
01/18/2019 22,51.74,41.1,10739
01/18/2019 23,45.28,41.12,10528
01/18/2019 24,42.14,41.13,10285
01/19/2019 01,37.62,41.14,10107
01/19/2019 02,33.23,41.14,9966
01/19/2019 03,33.22,41.14,9864
01/19/2019 04,33.22,41.14,9804
01/19/2019 05,33.22,41.14,9790
01/19/2019 06,33.22,41.13,9854
01/19/2019 07,33.22,41.11,9986
01/19/2019 08,33.11,41.11,10233
01/19/2019 09,38.56,41.1,10507
01/19/2019 10,32.95,41.09,10588
01/19/2019 11,32.97,41.08,10618
01/19/2019 12,33.22,41.06,10618
01/19/2019 13,32.9,41.04,10619
01/19/2019 14,32.78,41.02,10537
01/19/2019 15,32.78,41.02,10530
01/19/2019 16,32.79,41.02,10589
01/19/2019 17,33.63,41.02,10759
01/19/2019 18,39.37,41.03,11127
01/19/2019 19,36.59,41.03,11081
01/19/2019 20,33.22,41.03,10908
01/19/2019 21,33.22,41.03,10790
01/19/2019 22,33.22,41.03,10634
01/19/2019 23,32.81,41.01,10401
01/19/2019 24,32.99,41.01,10150
01/20/2019 01,31.19,41.01,9944
01/20/2019 02,28.55,41.02,9779
01/20/2019 03,27.19,41.02,9601
01/20/2019 04,27.76,41.02,9578
01/20/2019 05,28.27,41.02,9621
01/20/2019 06,31.32,41.02,9674
01/20/2019 07,32.61,41.02,9772
01/20/2019 08,32.78,41.02,9960
01/20/2019 09,33.12,41.02,10144
01/20/2019 10,33.22,41.02,10225
01/20/2019 11,33.22,41.02,10294
01/20/2019 12,33.23,41.01,10317
01/20/2019 13,33.23,41.01,10291
01/20/2019 14,33.23,41.01,10227
01/20/2019 15,33.23,41,10184
01/20/2019 16,35.49,40.98,10216
01/20/2019 17,39.25,40.97,10462
01/20/2019 18,47.25,40.96,10885
