Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
06/20/2019 19,35.36,93.44,9763
06/20/2019 20,32.85,93.44,9644
06/20/2019 21,32.82,93.44,9558
06/20/2019 22,30.53,93.44,9424
06/20/2019 23,31.68,93.44,9294
06/20/2019 24,29.16,93.44,9029
06/21/2019 01,24.37,93.43,8756
06/21/2019 02,23.44,93.42,8576
06/21/2019 03,21.91,93.42,8513
06/21/2019 04,22.39,93.41,8473
06/21/2019 05,24.08,93.41,8507
06/21/2019 06,27.6,93.41,8585
06/21/2019 07,30.62,93.41,8844
06/21/2019 08,32.75,93.42,9285
06/21/2019 09,29.94,93.42,9498
06/21/2019 10,31.25,93.41,9661
06/21/2019 11,32.8,93.41,9720
06/21/2019 12,32.82,93.41,9860
06/21/2019 13,32.86,93.41,9852
06/21/2019 14,32.68,93.41,9924
06/21/2019 15,32.68,93.4,9868
06/21/2019 16,28.11,93.39,9822
06/21/2019 17,24.56,93.37,9743
06/21/2019 18,24.26,93.35,9684
06/21/2019 19,21.92,93.34,9549
06/21/2019 20,20.57,93.31,9424
06/21/2019 21,17.84,93.28,9356
06/21/2019 22,16.79,93.23,9293
06/21/2019 23,15.06,93.18,9228
06/21/2019 24,14.9,93.15,9038
06/22/2019 01,14.46,93.12,8806
06/22/2019 02,13.33,93.1,8646
06/22/2019 03,10.45,93.08,8450
06/22/2019 04,9.99,93.05,8340
06/22/2019 05,11.68,93.03,8380
06/22/2019 06,12.65,93,8387
06/22/2019 07,14.71,92.98,8494
06/22/2019 08,15.85,92.95,8696
06/22/2019 09,16.3,92.92,8873
06/22/2019 10,12.59,92.86,9054
06/22/2019 11,14.97,92.82,9153
06/22/2019 12,17.82,92.78,9279
06/22/2019 13,20.4,92.74,9324
06/22/2019 14,21.71,92.7,9317
06/22/2019 15,24.05,92.17,9318
06/22/2019 16,24.02,91.09,9307
06/22/2019 17,25.36,89.82,9325
06/22/2019 18,24.09,88.53,9344
06/22/2019 19,18.42,87.29,9296
06/22/2019 20,27.27,86.82,9209
06/22/2019 21,26.97,86.7,9117
06/22/2019 22,25.71,86.08,9051
06/22/2019 23,23.57,86.03,9024
06/22/2019 24,17.22,86.01,8836
06/23/2019 01,13.23,85.98,8690
06/23/2019 02,12.38,85.96,8584
06/23/2019 03,8.96,85.94,8452
06/23/2019 04,8.86,85.91,8391
06/23/2019 05,8.85,85.89,8330
06/23/2019 06,8.77,85.87,8275
06/23/2019 07,8.92,85.84,8359
06/23/2019 08,15.17,85.81,8530
06/23/2019 09,26.72,85.73,8778
06/23/2019 10,29.02,85.56,9050
06/23/2019 11,29.6,84.94,9201
06/23/2019 12,26.17,84.49,9317
06/23/2019 13,24.61,84.44,9347
06/23/2019 14,23.77,84.4,9344
06/23/2019 15,24.59,84.36,9334
06/23/2019 16,27.19,84.33,9362
06/23/2019 17,26.22,84.31,9486
06/23/2019 18,25.78,84.3,9609
06/23/2019 19,26.18,84.29,9522
06/23/2019 20,29.04,84.28,9448
06/23/2019 21,28.98,84.28,9332
06/23/2019 22,25.12,84.27,9194
06/23/2019 23,23.88,84.25,9130
06/23/2019 24,16.18,84.23,8856
06/24/2019 01,18.54,84.22,8659
06/24/2019 02,23.95,84.21,8525
06/24/2019 03,23.88,84.21,8463
06/24/2019 04,22.39,84.2,8443
06/24/2019 05,23.97,84.19,8502
06/24/2019 06,24.12,84.17,8597
06/24/2019 07,29.15,84.17,8865
06/24/2019 08,30.33,84.17,9313
06/24/2019 09,32.7,84.17,9599
06/24/2019 10,36.37,84.16,9842
06/24/2019 11,36.47,84.1,9942
06/24/2019 12,33.54,84.02,10023
06/24/2019 13,34.04,83.94,10043
06/24/2019 14,36.42,82.92,10123
06/24/2019 15,35.81,82.66,10113
06/24/2019 16,33.56,82.64,10129
06/24/2019 17,33.64,82.64,10160
06/24/2019 18,35.12,82.64,10131
06/24/2019 19,33.61,82.64,9915
06/24/2019 20,31.48,82.64,9733
06/24/2019 21,30.68,82.65,9647
06/24/2019 22,25.94,82.64,9498
06/24/2019 23,28.45,82.62,9368
06/24/2019 24,25.89,82.61,9090
06/25/2019 01,26.12,82.6,8834
06/25/2019 02,24.88,82.59,8693
06/25/2019 03,24.05,82.58,8634
06/25/2019 04,25.2,82.56,8631
06/25/2019 05,29.03,82.56,8679
06/25/2019 06,33.09,82.56,8789
06/25/2019 07,33.52,82.56,9061
06/25/2019 08,31.88,82.56,9421
06/25/2019 09,33.54,82.56,9726
06/25/2019 10,33.48,82.56,9878
06/25/2019 11,35.12,82.56,9978
06/25/2019 12,35.15,82.57,9969
06/25/2019 13,35.18,82.57,10007
06/25/2019 14,37.49,82.57,10063
06/25/2019 15,37.39,82.58,10042
06/25/2019 16,36.05,82.57,10094
06/25/2019 17,44.76,82.56,10177
06/25/2019 18,45.18,82.51,10163
06/25/2019 19,44.94,82.45,10026
06/25/2019 20,36.71,82.39,9941
06/25/2019 21,38.93,82.32,9822
06/25/2019 22,34.2,82.28,9699
06/25/2019 23,33.53,82.28,9565
06/25/2019 24,33.5,82.28,9236
06/26/2019 01,32.86,82.28,8968
06/26/2019 02,32.83,82.28,8793
06/26/2019 03,32.85,82.28,8768
06/26/2019 04,32.84,82.28,8692
06/26/2019 05,32.85,82.28,8744
06/26/2019 06,32.87,82.27,8771
06/26/2019 07,34.28,82.27,9078
06/26/2019 08,33.61,82.27,9505
06/26/2019 09,35.5,82.25,9791
06/26/2019 10,45.89,82.23,9978
06/26/2019 11,47.75,81.77,10117
06/26/2019 12,49.11,80.78,10210
06/26/2019 13,52.52,80.17,10254
06/26/2019 14,49.47,79.84,10305
06/26/2019 15,44.71,79.5,10302
06/26/2019 16,46.21,78.91,10337
06/26/2019 17,67.14,78.44,10355
06/26/2019 18,83.05,78.15,10261
06/26/2019 19,93.89,78.15,10050
06/26/2019 20,77.3,78.16,9886
06/26/2019 21,35.44,78.12,9704
06/26/2019 22,32.65,78.08,9599
06/26/2019 23,29.75,78.07,9516
06/26/2019 24,33.49,78.07,9253
06/27/2019 01,30.78,78.08,9023
06/27/2019 02,27.06,78.08,8844
06/27/2019 03,26.1,78.09,8735
06/27/2019 04,26.02,78.1,8692
06/27/2019 05,28.34,78.11,8668
06/27/2019 06,28.54,78.11,8718
06/27/2019 07,29.88,78.11,9018
06/27/2019 08,33.52,78.12,9441
06/27/2019 09,31.95,78.12,9717
06/27/2019 10,33.54,78.1,9892
06/27/2019 11,33.53,77.73,10063
06/27/2019 12,33.85,77.38,10127
06/27/2019 13,34.48,76.42,10130
06/27/2019 14,35.09,75.35,10126
06/27/2019 15,35.14,74.2,10097
06/27/2019 16,35.11,72.97,10214
06/27/2019 17,35.14,71.67,10278
06/27/2019 18,34.94,70.43,10203
06/27/2019 19,31.82,69.37,9972
06/27/2019 20,30.86,68.32,9825
06/27/2019 21,33.05,67.55,9732
06/27/2019 22,33.83,67.55,9632
06/27/2019 23,34.08,67.55,9448
06/27/2019 24,34.38,67.55,9162
06/28/2019 01,33.48,67.56,8900
06/28/2019 02,30.01,67.56,8752
06/28/2019 03,28.57,67.58,8664
06/28/2019 04,27.73,67.6,8625
06/28/2019 05,24.93,67.61,8670
06/28/2019 06,25.56,67.62,8771
06/28/2019 07,28.2,67.63,8982
06/28/2019 08,28.26,67.64,9311
06/28/2019 09,28.54,67.63,9660
06/28/2019 10,28.57,67.62,9846
06/28/2019 11,26.23,67.56,10053
06/28/2019 12,28.53,67.47,10175
06/28/2019 13,29.36,66.48,10217
06/28/2019 14,33.47,65.52,10270
06/28/2019 15,33.53,64.49,10276
06/28/2019 16,33.75,63.43,10317
06/28/2019 17,33.53,62.37,10262
06/28/2019 18,33.51,61.3,10222
06/28/2019 19,33.53,60.36,9990
06/28/2019 20,33.49,59.85,9795
06/28/2019 21,33.49,59.67,9614
06/28/2019 22,26.51,59.57,9324
06/28/2019 23,24,59.51,9090
06/28/2019 24,23.47,59.5,8802
06/29/2019 01,19.51,59.49,8524
06/29/2019 02,20.24,59.47,8382
06/29/2019 03,20.47,59.47,8292
06/29/2019 04,21.51,59.46,8271
06/29/2019 05,22.32,59.46,8309
06/29/2019 06,22.08,59.46,8282
06/29/2019 07,18.24,59.45,8379
06/29/2019 08,19.62,59.43,8593
06/29/2019 09,21.22,59.42,8928
06/29/2019 10,23.63,59.42,9183
06/29/2019 11,24.29,59.41,9368
06/29/2019 12,24.54,59.4,9433
06/29/2019 13,24.05,59.39,9460
06/29/2019 14,23.75,59.38,9468
06/29/2019 15,23.12,59.37,9436
06/29/2019 16,22.62,59.36,9437
06/29/2019 17,20.55,59.35,9398
06/29/2019 18,21.81,59.33,9444
06/29/2019 19,20.09,59.32,9381
06/29/2019 20,20.53,59.3,9275
06/29/2019 21,23.53,59.29,9114
06/29/2019 22,24.04,59.27,9045
06/29/2019 23,28.73,59.27,9007
06/29/2019 24,28.52,59.27,8825
06/30/2019 01,28.26,59.26,8606
06/30/2019 02,26.18,59.26,8473
06/30/2019 03,25.45,59.26,8345
06/30/2019 04,24.01,59.25,8306
06/30/2019 05,25.71,59.25,8396
06/30/2019 06,22.44,59.24,8326
06/30/2019 07,22.01,59.23,8340
06/30/2019 08,23.97,59.22,8478
06/30/2019 09,26.55,59.08,8758
06/30/2019 10,29.41,58.5,9021
06/30/2019 11,32.65,58.28,9222
06/30/2019 12,33.49,58.24,9327
06/30/2019 13,33.47,58.13,9416
06/30/2019 14,33.49,57.95,9391
06/30/2019 15,33.5,57.65,9444
06/30/2019 16,33.52,56.91,9422
06/30/2019 17,33.78,55.85,9562
06/30/2019 18,34.29,54.74,9638
06/30/2019 19,33.57,54.38,9592
06/30/2019 20,33.48,54.03,9490
06/30/2019 21,33.51,53.73,9460
06/30/2019 22,30.49,53.65,9377
06/30/2019 23,28.68,53.57,9326
06/30/2019 24,28.46,53.52,9136
07/01/2019 01,28.51,53.51,8880
07/01/2019 02,24.95,53.49,8664
07/01/2019 03,23.76,53.48,8569
07/01/2019 04,22.32,53.46,8505
07/01/2019 05,22.32,53.45,8479
07/01/2019 06,22.2,53.43,8434
07/01/2019 07,21.43,53.42,8466
07/01/2019 08,23.78,53.4,8657
07/01/2019 09,26.25,53.39,8927
07/01/2019 10,29.99,53.39,9203
07/01/2019 11,33.52,53.39,9408
07/01/2019 12,31.86,53.33,9518
07/01/2019 13,28.49,53.23,9536
07/01/2019 14,28.56,52.89,9542
07/01/2019 15,26.94,52.71,9543
07/01/2019 16,25.38,52.43,9592
07/01/2019 17,26.05,51.51,9590
07/01/2019 18,27.29,50.8,9606
07/01/2019 19,27.64,50.71,9496
07/01/2019 20,24.55,50.66,9324
07/01/2019 21,25.86,50.65,9193
07/01/2019 22,28.55,50.64,9104
07/01/2019 23,29.68,50.64,9092
07/01/2019 24,33.51,50.64,8858
07/02/2019 01,28.74,50.64,8688
07/02/2019 02,28.53,50.63,8549
07/02/2019 03,26.72,50.63,8465
07/02/2019 04,27.02,50.63,8455
07/02/2019 05,25.62,50.63,8501
07/02/2019 06,24.59,50.63,8534
07/02/2019 07,28.42,50.63,8835
07/02/2019 08,28.47,50.63,9231
07/02/2019 09,33.01,50.63,9527
07/02/2019 10,34.18,50.63,9732
07/02/2019 11,34.86,50.63,9840
07/02/2019 12,34.87,50.56,9910
07/02/2019 13,42,50.54,9959
07/02/2019 14,43.26,50.5,9994
07/02/2019 15,34.84,50.43,9979
07/02/2019 16,34.39,50.16,9906
07/02/2019 17,33.52,49.71,9894
07/02/2019 18,33.48,48.9,9887
07/02/2019 19,31.03,48.74,9711
07/02/2019 20,28.7,48.66,9600
07/02/2019 21,28.71,48.6,9498
07/02/2019 22,28.69,48.59,9442
07/02/2019 23,28.7,48.58,9348
07/02/2019 24,28.29,48.58,9062
07/03/2019 01,25.44,48.6,8811
07/03/2019 02,24.02,48.61,8643
07/03/2019 03,23.5,48.63,8528
07/03/2019 04,23.25,48.64,8502
07/03/2019 05,23.79,48.66,8508
07/03/2019 06,27.71,48.69,8552
07/03/2019 07,28.67,48.69,8791
07/03/2019 08,28.68,48.7,9187
07/03/2019 09,33.38,48.7,9508
07/03/2019 10,33.53,48.7,9695
07/03/2019 11,32.73,48.7,9845
07/03/2019 12,33.69,48.7,9900
07/03/2019 13,33.64,48.7,9937
07/03/2019 14,34.89,48.7,9972
07/03/2019 15,34.84,48.7,9995
07/03/2019 16,34.86,48.7,10016
07/03/2019 17,34.87,48.71,9993
07/03/2019 18,34.87,48.71,9968
07/03/2019 19,33.41,48.73,9784
07/03/2019 20,31.69,48.74,9668
07/03/2019 21,29.92,48.75,9525
07/03/2019 22,28.66,48.76,9415
07/03/2019 23,28.66,48.77,9354
07/03/2019 24,28.62,48.77,9093
07/04/2019 01,28.63,48.77,8848
07/04/2019 02,27.4,48.77,8707
07/04/2019 03,25.8,48.76,8629
07/04/2019 04,24.9,48.76,8598
07/04/2019 05,26.05,48.76,8649
07/04/2019 06,26.05,48.76,8678
07/04/2019 07,26.18,48.76,8870
07/04/2019 08,26.8,48.75,9186
07/04/2019 09,28.82,48.75,9445
07/04/2019 10,32.53,48.75,9636
07/04/2019 11,33.52,48.74,9760
07/04/2019 12,33.51,48.74,9849
07/04/2019 13,33.56,48.74,9857
07/04/2019 14,33.52,48.74,9920
07/04/2019 15,33.48,48.74,9971
07/04/2019 16,33.53,48.74,9969
07/04/2019 17,31.83,48.74,9944
07/04/2019 18,28.66,48.74,9897
07/04/2019 19,28.63,48.74,9788
07/04/2019 20,27.21,48.74,9621
07/04/2019 21,28.69,48.75,9419
07/04/2019 22,28.63,48.76,9368
07/04/2019 23,28.29,48.77,9276
07/04/2019 24,24.2,48.77,8999
07/05/2019 01,20.92,48.77,8741
07/05/2019 02,22.77,48.77,8627
07/05/2019 03,20.91,48.76,8550
07/05/2019 04,23.8,48.76,8511
07/05/2019 05,24.01,48.76,8512
07/05/2019 06,24.01,48.76,8565
07/05/2019 07,25.3,48.75,8772
07/05/2019 08,28.57,48.75,9139
07/05/2019 09,28.71,48.74,9453
07/05/2019 10,32.65,48.74,9686
07/05/2019 11,33.47,48.74,9817
07/05/2019 12,33.48,48.74,9890
07/05/2019 13,33.47,48.74,9916
07/05/2019 14,33.51,48.74,9915
07/05/2019 15,33.5,48.74,9876
07/05/2019 16,33.46,48.75,9854
07/05/2019 17,33.51,48.75,9809
07/05/2019 18,32.73,48.75,9728
07/05/2019 19,28.73,48.75,9573
07/05/2019 20,28.67,48.75,9396
07/05/2019 21,28.32,48.76,9321
07/05/2019 22,28.2,48.76,9284
07/05/2019 23,28.2,48.77,9231
07/05/2019 24,28.31,48.77,9031
07/06/2019 01,27.31,48.78,8790
07/06/2019 02,23.28,48.79,8593
07/06/2019 03,19.65,48.79,8532
07/06/2019 04,18.36,48.79,8531
07/06/2019 05,18.36,48.79,8496
07/06/2019 06,18.36,48.79,8449
07/06/2019 07,19.03,48.77,8474
07/06/2019 08,21.49,48.76,8654
07/06/2019 09,22.42,48.75,8957
07/06/2019 10,27.5,48.75,9230
07/06/2019 11,31.08,48.75,9405
07/06/2019 12,33.24,48.75,9503
07/06/2019 13,30.86,48.75,9523
07/06/2019 14,30.86,48.75,9568
07/06/2019 15,32.16,48.75,9593
07/06/2019 16,34.37,48.75,9624
07/06/2019 17,33.55,48.75,9720
07/06/2019 18,33.48,48.75,9753
07/06/2019 19,33.03,48.76,9638
07/06/2019 20,27.5,48.76,9498
07/06/2019 21,28.69,48.77,9397
07/06/2019 22,28.65,48.77,9305
07/06/2019 23,28.69,48.78,9296
07/06/2019 24,28.64,48.78,8972
07/07/2019 01,28.37,48.79,8706
07/07/2019 02,28.19,48.79,8582
07/07/2019 03,24.62,48.79,8466
07/07/2019 04,20.54,48.78,8402
07/07/2019 05,21.9,48.78,8440
07/07/2019 06,24.59,48.79,8412
07/07/2019 07,23.27,48.79,8388
07/07/2019 08,17.09,48.78,8550
07/07/2019 09,22.65,48.77,8785
07/07/2019 10,26.8,48.76,9072
07/07/2019 11,28.69,48.77,9270
07/07/2019 12,28.65,48.77,9446
07/07/2019 13,28.71,48.77,9533
07/07/2019 14,28.65,48.77,9602
07/07/2019 15,32.23,48.78,9645
07/07/2019 16,33.47,48.78,9703
07/07/2019 17,33.47,48.78,9759
07/07/2019 18,32.67,48.79,9769
07/07/2019 19,28.69,48.79,9582
07/07/2019 20,28.68,48.8,9535
07/07/2019 21,28.7,48.8,9422
07/07/2019 22,31.36,48.8,9371
07/07/2019 23,32.79,48.8,9342
07/07/2019 24,28.58,48.78,9020
07/08/2019 01,26.47,48.76,8767
07/08/2019 02,26.69,48.76,8636
07/08/2019 03,28.63,48.75,8566
07/08/2019 04,28.5,48.75,8552
07/08/2019 05,27.34,48.75,8556
07/08/2019 06,28.69,48.74,8679
07/08/2019 07,28.26,48.74,8967
07/08/2019 08,28.29,48.74,9326
07/08/2019 09,32.99,48.74,9605
07/08/2019 10,33.46,48.74,9763
07/08/2019 11,33.49,48.74,9907
07/08/2019 12,33.55,48.72,9988
07/08/2019 13,33.54,48.7,10067
07/08/2019 14,35.47,48.69,10107
07/08/2019 15,36.47,48.68,10127
07/08/2019 16,36.54,48.68,10139
07/08/2019 17,35.36,48.68,9977
07/08/2019 18,36.11,48.69,9991
07/08/2019 19,33.54,48.69,9804
07/08/2019 20,33.45,48.7,9646
07/08/2019 21,30.58,48.71,9458
07/08/2019 22,32.69,48.72,9334
07/08/2019 23,28.86,48.72,9293
07/08/2019 24,28.89,48.73,9014
07/09/2019 01,28.72,48.73,8782
07/09/2019 02,28.7,48.72,8592
07/09/2019 03,28.66,48.72,8524
07/09/2019 04,28.62,48.73,8539
07/09/2019 05,27.95,48.73,8529
07/09/2019 06,27.99,48.74,8592
07/09/2019 07,28.48,48.75,8838
07/09/2019 08,27.02,48.75,9171
07/09/2019 09,28.64,48.76,9420
07/09/2019 10,30.67,48.76,9572
07/09/2019 11,33.11,48.78,9705
07/09/2019 12,33.48,48.79,9875
07/09/2019 13,33.54,48.8,9921
07/09/2019 14,35.91,48.82,9972
07/09/2019 15,36.55,48.83,10022
07/09/2019 16,38.26,48.84,10010
07/09/2019 17,36.49,48.85,10029
07/09/2019 18,36.54,48.86,10033
07/09/2019 19,33.52,48.86,9880
07/09/2019 20,33.53,48.86,9760
07/09/2019 21,32.72,48.86,9569
07/09/2019 22,31.66,48.86,9435
07/09/2019 23,29.41,48.86,9311
07/09/2019 24,28.93,48.86,9056
07/10/2019 01,27.95,48.86,8806
07/10/2019 02,27.25,48.85,8650
07/10/2019 03,21.73,48.83,8553
07/10/2019 04,26.56,48.83,8502
07/10/2019 05,26.87,48.83,8520
07/10/2019 06,28.1,48.82,8629
07/10/2019 07,30.09,48.82,8940
07/10/2019 08,29.36,48.82,9357
07/10/2019 09,31.25,48.82,9645
07/10/2019 10,33.48,48.82,9859
07/10/2019 11,33.54,48.82,10009
07/10/2019 12,33.54,48.8,10018
07/10/2019 13,33.51,48.78,9983
07/10/2019 14,33.49,48.76,10061
07/10/2019 15,30.88,48.74,9971
07/10/2019 16,30.02,48.72,9990
07/10/2019 17,32.73,48.69,10090
07/10/2019 18,33.54,48.64,10081
07/10/2019 19,33.51,48.62,9912
07/10/2019 20,33.52,48.61,9885
07/10/2019 21,33.51,48.61,9792
07/10/2019 22,33.47,48.61,9643
07/10/2019 23,33.49,48.61,9554
07/10/2019 24,32,48.61,9250
07/11/2019 01,29.33,48.61,8942
07/11/2019 02,25.56,48.6,8785
07/11/2019 03,25.9,48.59,8660
07/11/2019 04,28.31,48.58,8609
07/11/2019 05,29.33,48.58,8643
07/11/2019 06,32.4,48.58,8717
07/11/2019 07,33.48,48.58,8981
07/11/2019 08,33.73,48.58,9446
07/11/2019 09,35.67,48.57,9751
07/11/2019 10,35.82,48.53,9988
07/11/2019 11,35.7,48.16,10099
07/11/2019 12,33.55,48.14,10203
07/11/2019 13,33.49,48.13,10267
07/11/2019 14,33.89,47.85,10279
07/11/2019 15,33.95,47.13,10296
07/11/2019 16,33.97,46.34,10255
07/11/2019 17,33.95,45.61,10269
07/11/2019 18,33.98,44.98,10243
07/11/2019 19,34.02,44.26,10160
07/11/2019 20,34.01,43.88,10079
07/11/2019 21,34.02,43.47,9965
07/11/2019 22,33.78,43.33,9757
07/11/2019 23,33.54,43.21,9636
07/11/2019 24,33.51,43.19,9327
07/12/2019 01,32.58,43.17,9040
07/12/2019 02,31.65,43.17,8858
07/12/2019 03,30.37,43.16,8729
07/12/2019 04,29.74,43.16,8693
07/12/2019 05,29.29,43.16,8702
07/12/2019 06,29.15,43.15,8757
07/12/2019 07,31.54,43.15,9011
07/12/2019 08,33.45,43.13,9422
07/12/2019 09,33.94,43.06,9799
07/12/2019 10,34.57,42.91,10101
07/12/2019 11,38.24,42.84,10247
07/12/2019 12,69.15,41.96,10313
07/12/2019 13,44.93,41.67,10269
07/12/2019 14,55.16,41.21,10357
07/12/2019 15,79.63,40.55,10390
07/12/2019 16,91.62,39.36,10400
07/12/2019 17,55.5,38.12,10406
07/12/2019 18,90.01,37.17,10355
07/12/2019 19,72.38,37.04,10235
07/12/2019 20,90.07,37.02,10145
07/12/2019 21,58.35,36.95,9979
07/12/2019 22,68.93,36.93,9859
07/12/2019 23,57.8,36.93,9744
07/12/2019 24,46.05,36.93,9458
07/13/2019 01,43.19,36.93,9103
07/13/2019 02,34.57,36.93,8842
07/13/2019 03,33.79,36.93,8717
07/13/2019 04,33.48,36.94,8700
07/13/2019 05,33.94,36.95,8728
07/13/2019 06,33.58,36.96,8657
07/13/2019 07,33.54,36.96,8674
07/13/2019 08,33.51,36.96,8864
07/13/2019 09,33.68,36.94,9226
07/13/2019 10,37.41,36.92,9578
07/13/2019 11,54.76,36.91,9813
07/13/2019 12,215.09,37,9892
07/13/2019 13,90.91,36.99,9951
07/13/2019 14,81.63,36.68,10083
07/13/2019 15,43.13,36.31,10038
07/13/2019 16,154.92,36.34,10084
07/13/2019 17,34.03,36.34,10191
07/13/2019 18,41.96,36.34,10196
07/13/2019 19,34.43,36.34,10063
07/13/2019 20,33.99,36.34,9946
07/13/2019 21,33.94,36.32,9766
07/13/2019 22,34.47,36.3,9657
07/13/2019 23,34.11,36.28,9628
07/13/2019 24,33.66,36.27,9321
07/14/2019 01,33.5,36.28,9023
07/14/2019 02,33.54,36.29,8856
07/14/2019 03,33.55,36.3,8769
07/14/2019 04,33.54,36.31,8675
07/14/2019 05,33.51,36.32,8611
07/14/2019 06,33.5,36.33,8550
07/14/2019 07,33.54,36.34,8550
07/14/2019 08,30.84,36.34,8738
07/14/2019 09,33.49,36.34,9019
07/14/2019 10,33.9,36.33,9392
07/14/2019 11,35.38,36.33,9679
07/14/2019 12,37.24,36.34,9875
07/14/2019 13,76.86,36.4,10007
07/14/2019 14,33.82,36.4,10102
07/14/2019 15,33.85,36.4,10051
07/14/2019 16,33.05,36.4,9989
07/14/2019 17,32.75,36.4,10052
07/14/2019 18,32.77,36.4,10118
07/14/2019 19,32.82,36.4,10020
07/14/2019 20,32.8,36.4,9866
07/14/2019 21,32.79,36.4,9677
07/14/2019 22,33.68,36.4,9564
07/14/2019 23,33.41,36.41,9463
07/14/2019 24,32.94,36.41,9141
07/15/2019 01,31.28,36.42,8844
07/15/2019 02,30.08,36.43,8685
07/15/2019 03,33.17,36.44,8598
07/15/2019 04,33.46,36.45,8619
07/15/2019 05,33.49,36.46,8584
07/15/2019 06,33.5,36.47,8600
07/15/2019 07,33.85,36.48,8854
07/15/2019 08,33.58,36.49,9315
07/15/2019 09,41.99,36.51,9679
07/15/2019 10,90.08,36.58,9967
07/15/2019 11,81.96,36.65,10145
07/15/2019 12,353.91,37.1,10248
07/15/2019 13,550.31,37.81,10283
07/15/2019 14,76.49,37.87,10347
07/15/2019 15,159.52,38.05,10408
07/15/2019 16,376.89,38.53,10387
07/15/2019 17,87.84,38.6,10407
07/15/2019 18,33.8,38.6,10385
07/15/2019 19,33.81,38.6,10278
07/15/2019 20,284.81,38.95,10028
07/15/2019 21,70.91,39,9931
07/15/2019 22,49.54,39.03,9833
07/15/2019 23,33.81,39.03,9691
07/15/2019 24,33.77,39.03,9389
07/16/2019 01,33.82,39.04,9121
07/16/2019 02,33.63,39.04,8940
07/16/2019 03,33.56,39.05,8873
07/16/2019 04,33.54,39.06,8849
07/16/2019 05,33.5,39.07,8787
07/16/2019 06,32.75,39.07,8852
07/16/2019 07,30.89,39.07,9121
07/16/2019 08,33.43,39.07,9455
07/16/2019 09,31.66,39.07,9742
07/16/2019 10,33.79,39.07,9978
07/16/2019 11,49.23,39.1,10145
07/16/2019 12,33.8,39.1,10249
07/16/2019 13,33.79,39.1,10281
07/16/2019 14,47.09,39.11,10361
07/16/2019 15,33.83,39.1,10385
07/16/2019 16,84.07,39.15,10360
07/16/2019 17,65.31,39.17,10316
07/16/2019 18,33.84,39.15,10331
07/16/2019 19,33.84,39.13,10155
07/16/2019 20,33.81,39.11,10047
07/16/2019 21,34.44,39.1,9957
07/16/2019 22,33.71,39.08,9817
07/16/2019 23,33.62,39.07,9686
07/16/2019 24,33.68,39.06,9392
07/17/2019 01,32.81,39.06,9096
07/17/2019 02,32.81,39.06,8909
07/17/2019 03,32.23,39.05,8776
07/17/2019 04,30.35,39.05,8680
07/17/2019 05,29.08,39.04,8664
07/17/2019 06,29.06,39.05,8672
07/17/2019 07,29.71,39.05,8893
07/17/2019 08,28.81,39.04,9299
07/17/2019 09,30.03,39.04,9657
07/17/2019 10,32.65,39.02,9916
07/17/2019 11,32.59,39,10148
07/17/2019 12,32.76,38.98,10300
07/17/2019 13,32.76,38.94,10340
07/17/2019 14,32.74,38.88,10397
07/17/2019 15,32.76,38.84,10392
07/17/2019 16,32.81,38.81,10433
07/17/2019 17,32.78,38.78,10402
07/17/2019 18,33.22,38.74,10359
07/17/2019 19,32.78,38.73,10173
07/17/2019 20,32.47,38.7,10114
07/17/2019 21,30.86,38.69,9936
07/17/2019 22,29.05,38.67,9788
07/17/2019 23,29.07,38.67,9682
07/17/2019 24,28.42,38.66,9304
07/18/2019 01,29.03,38.66,9022
07/18/2019 02,29.04,38.66,8914
07/18/2019 03,29.03,38.66,8804
07/18/2019 04,28.99,38.66,8727
07/18/2019 05,29.85,38.67,8725
07/18/2019 06,31.62,38.68,8808
07/18/2019 07,32.54,38.68,9055
07/18/2019 08,29.16,38.67,9422
07/18/2019 09,29.27,38.67,9740
07/18/2019 10,29.02,38.66,9946
07/18/2019 11,28.75,38.65,10081
07/18/2019 12,28.95,38.65,10163
07/18/2019 13,28.96,38.61,10212
07/18/2019 14,27.71,37.56,10173
07/18/2019 15,25.29,36.55,10151
07/18/2019 16,28.01,35.51,10156
07/18/2019 17,29.41,34.62,10147
07/18/2019 18,32.24,34.44,10071
07/18/2019 19,30.92,34.35,9828
07/18/2019 20,28.94,34.32,9700
07/18/2019 21,29.01,34.31,9639
07/18/2019 22,28.99,34.28,9597
07/18/2019 23,31.7,34.27,9477
07/18/2019 24,30.21,34.26,9186
07/19/2019 01,29.02,34.25,8965
07/19/2019 02,28.8,34.24,8789
07/19/2019 03,28.7,34.24,8700
07/19/2019 04,28.71,34.23,8675
07/19/2019 05,28.68,34.23,8658
07/19/2019 06,28.71,34.22,8752
07/19/2019 07,29.23,34.22,8933
07/19/2019 08,33.13,34.22,9249
07/19/2019 09,33.54,34.22,9575
07/19/2019 10,33.55,34.23,9777
07/19/2019 11,33.13,34.24,9885
07/19/2019 12,33.14,34.25,10008
07/19/2019 13,33.17,34.25,10066
07/19/2019 14,33.14,34.25,10108
07/19/2019 15,33.15,34.25,10081
07/19/2019 16,33.14,34.26,10029
07/19/2019 17,33.1,34.26,10018
07/19/2019 18,33.14,34.26,9946
07/19/2019 19,30.05,34.26,9761
07/19/2019 20,28.79,34.26,9682
07/19/2019 21,28.65,34.27,9588
